obra_cod;obra_descricao;Marca;Regional;Carteira;VGV;Data
7734;LEGACY CAMPO BELO;CYRELA;São Paulo;25901494,66;25901494,66;30/04/2021
7741;DAÇÃO ED. TERRAZAS D'ANCHIETA (YOO MOINHOS);CYRELA;Sul;710000;710000;30/04/2021
7742;RESERVA JARDIM DAÇÃO 3;CYRELA;Rio de Janeiro;456401,17;456401,17;30/04/2021
7761;ATMOSFERA BROOKLIN;CYRELA;São Paulo;77295941,33;77295941,33;30/04/2021
7774;VITALE MOOCA;CYRELA;São Paulo;1143541,05;94869293,11;30/04/2021
7775;TARUMA;CYRELA;São Paulo;140686,09;259544782,8;30/04/2021
7778;ESSENZA MOEMA;CYRELA;São Paulo;778163,86;356116908,4;30/04/2021
7781;RISERVA GOLF VISTA MARE RESIDENZIALE;CYRELA;Rio de Janeiro;89727719,18;483562414,4;30/04/2021
7804;VIVAZ ESTACAO ITAQUERA;VIVAZ;São Paulo;36815620,85;36815620,85;30/04/2021
7818;LIVING CONCEPT PANAMBY;LIVING;São Paulo;32923859,67;36720828,84;30/04/2021
7819;LIVING DREAM PANAMBY;LIVING;São Paulo;80922650,5;102401125,5;30/04/2021
7820;CYRELA ARTI PERDIZES;CYRELA;São Paulo;61249295,35;61249295,35;30/04/2021
7821;QUADRA GREENWICH - WEST SIDE;CYRELA;São Paulo;49083189,18;49083189,18;30/04/2021
7823;QUADRA GREENWICH - EAST SIDE;CYRELA;São Paulo;35300268,07;35300268,07;30/04/2021
7825;AURA TIJUCA;CYRELA;Rio de Janeiro;18759355,54;18759355,54;30/04/2021
7826;LIVING WISH TATUAPÉ;LIVING;São Paulo;79381791,36;79381791,36;30/04/2021
7836;VIVAZ TABOAO DA SERRA;VIVAZ;São Paulo;46348547,39;56324742,61;30/04/2021
7837;DOMINIO MARAJOARA - VAGA ADICIONAL;CYRELA;São Paulo;2104,14;25299,79;30/04/2021
7840;LIVING ELEGANCE;LIVING;São Paulo;33997669,82;33997669,82;30/04/2021
7843;AGORA NOVA IGUAÇU;LIVING;Rio de Janeiro;65042,43;61099047,22;30/04/2021
7848;HERITAGE;CYRELA;São Paulo;71123458,68;356966266,4;30/04/2021
7851;THE PARK INSPIRED BY DROR;CYRELA;Sul;57260746,04;57260746,04;30/04/2021
7857;DAÇÃO - BORA BORA;CYRELA;Rio de Janeiro;450235,43;1204013,08;30/04/2021
7869;CYRELA HAUS BY YOO;CYRELA;São Paulo;87004911,66;145060485,9;30/04/2021
7883;MOVE TIJUCA;CYRELA;Rio de Janeiro;38870891,11;77452192,54;30/04/2021
7901;TERRENO ABRANTES GRAMA (MRV);CYRELA;Nordeste;9572277,87;27117934,97;30/04/2021
7910;MEDPLEX CAMPINAS;CYRELA;São Paulo;38851394,81;38851394,81;30/04/2021
7912;SKYLINE JOCKEY;CYRELA;São Paulo;109560890;109560890;30/04/2021
7922;CYRELA RESIDENCIAL ESTORIL;CYRELA;Loteamento;17484373,02;17484373,02;30/04/2021
7931;START TIJUCA;CYRELA;Rio de Janeiro;27197265,75;27197265,75;30/04/2021
7932;THERA FARIA LIMA;CYRELA;São Paulo;848691,75;805370147,8;30/04/2021
7957;ESSENCIA ALPHAVILLE;CYRELA;São Paulo;18475,49;267562884;30/04/2021
7966;CEO SHOPPING SALVADOR;CYRELA;Nordeste;3568826,5;409827179,7;30/04/2021
8007;MOOD;CYRELA;São Paulo;50742,61;50742,61;30/04/2021
8012;VISTA PARK;LIVING;São Paulo;357118,33;392232554,4;30/04/2021
8040;ON PERMUTANTE;CYRELA;Permutante;8469344,08;8469344,08;30/04/2021
8042;LIVING SUNSET;LIVING;Rio de Janeiro;13260393,33;13260393,33;30/04/2021
8054;LIVING IPIRANGA;LIVING;São Paulo;114821559,8;114821559,8;30/04/2021
8067;VIVAZ TRANSAMERICA 2;VIVAZ;São Paulo;26524766,36;26524766,36;30/04/2021
8074;ALSACIA LORENA;CYRELA;Rio de Janeiro;85283,23;997385,27;30/04/2021
