null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-18T20:20:28.976Z,"[20,150]",,,
29,,"[500,5000]","[-38.5016363,-12.9777378]",Salvador,Point,apartment,2020-02-18T20:47:03.152Z,"[20,150]",male,,
32,Contate agora,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-18T23:18:19.044Z,"[20,150]",male,"Ciência da computação, usjt",Empreendedor
28,Getnet,"[500,2600]","[-46.69160679999999,-23.5635787]",Pinheiros,Point,apartment,2020-02-19T14:02:25.030Z,"[20,150]",female,Matematica - Unesp RC,Analista
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-19T00:39:11.316Z,"[20,150]",,,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-19T01:26:28.177Z,"[20,150]",,,
18,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-19T01:39:44.873Z,"[20,150]",male,,
26,FATEC,"[500,900]","[-46.6312586,-23.5599169]",Liberdade,Point,apartment,2020-02-19T03:19:53.809Z,"[20,150]",male,Produção Fonográfica,Técnico
28,Bottega,"[500,2300]","[-46.6572575,-23.5381968]",Santa Cecilia,Point,apartment,2020-02-19T03:42:27.899Z,"[20,150]",male,Unifesp,Atendende
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-19T03:49:18.946Z,"[20,150]",,,
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-19T13:13:54.399Z,"[20,150]",,,
26,Grupo ZAP,"[500,1400]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-19T20:20:23.556Z,"[20,150]",female,Instituto Mauá de tecnologia,Analista de marketing
null,,"[500,5000]","[-46.6333094,-23.5505199]",São Paulo,Point,apartment,2020-02-20T00:41:57.784Z,"[20,150]",,,
